#cameras 128
#name,x,y,z,omega,phi,kappa
ghazanchecoc sirun ptuyt 47.jpg,35.35883761569501,-20.70658898237423,30.16927133788054,-78.89217277749086,30.84237284251571,68.5779136950612
ghazanchecoc sirun ptuyt 49.jpg,36.20292730674159,-17.85495202582304,30.16132965180389,-80.51532008136682,26.82246829737806,69.0825855071061
ghazanchecoc sirun ptuyt 51.jpg,36.87276075166371,-14.95856304412909,30.17735970874156,-81.93659859891901,23.17689303779492,69.33292630807188
ghazanchecoc sirun ptuyt 53.jpg,37.45706104446296,-11.77978194980506,30.18205752905184,-83.76252549744297,18.23753459100571,69.53914488320514
ghazanchecoc sirun ptuyt 55.jpg,37.79391806086382,-8.232231845511603,30.23829818895116,-85.97449267029951,12.3613955378086,69.74436263688303
ghazanchecoc sirun ptuyt 57.jpg,37.56589917162218,-4.530925272675085,30.30868066568872,-87.63980358393449,7.685492679343552,69.48221258717102
ghazanchecoc sirun ptuyt 59.jpg,36.782214871024,-0.6320488321029156,30.4204403489171,-89.64138742303577,2.357076813790527,69.16094999380266
ghazanchecoc sirun ptuyt 61.jpg,35.18302048741412,3.375773579327933,30.50631136943052,-92.11359709907268,-3.782837292170471,68.27411422076887
ghazanchecoc sirun ptuyt 63.jpg,32.68433439815598,7.322569392948278,30.57568611156056,-94.87573220734093,-10.16169979251825,67.17892074319884
ghazanchecoc sirun ptuyt 65.jpg,29.20639344776407,10.95819221356264,30.61173038309458,-98.26969576390279,-17.16480817327506,65.61797481958993
ghazanchecoc sirun ptuyt 67.jpg,24.71795098740424,14.07843329463517,30.63474691655738,-102.9067398642698,-25.32697666075265,63.03793857674111
ghazanchecoc sirun ptuyt 68.jpg,22.08406730889479,15.36814831530857,30.63490298144725,-106.1530735280792,-29.95668836811857,61.02337149795425
ghazanchecoc sirun ptuyt 69.jpg,19.34306911731345,16.56899489973662,30.70376669291911,-110.0106665107525,-35.01326683521232,58.75697010455778
ghazanchecoc sirun ptuyt 70.jpg,16.30773458100328,17.40240883057466,30.68383416312729,-115.5394371018796,-40.08763743859286,54.66632228494353
ghazanchecoc sirun ptuyt 71.jpg,13.14305688253802,17.93144016176169,30.64612075098999,-121.9769098062319,-45.24556852647609,49.88747540605674
ghazanchecoc sirun ptuyt 72.jpg,9.91355027376143,18.17731401894751,30.63216323098689,-131.9642711425365,-49.2151808107879,41.2059285272375
ghazanchecoc sirun ptuyt 73.jpg,6.614726566858796,18.09087525955484,30.627698015628,-145.3935487597585,-51.53035259544397,29.49577397636057
ghazanchecoc sirun ptuyt 74.jpg,3.363528448581463,17.64125119856564,30.63013025093154,-161.4806944428954,-52.4335130811706,15.95359826173194
ghazanchecoc sirun ptuyt 75.jpg,0.2374359514450544,16.76992464721258,30.64181093406651,-179.5535587814146,-51.37743001002013,1.222795183683121
ghazanchecoc sirun ptuyt 76.jpg,-2.704225732831049,15.50229967561881,30.69778712298446,162.5058403699267,-47.90170078694292,-12.51759101044726
ghazanchecoc sirun ptuyt 77.jpg,-5.420440820883143,13.87937141817121,30.72839415486543,146.2143893354465,-42.12053858904765,-23.56986495413259
ghazanchecoc sirun ptuyt 78.jpg,-7.820341105298698,11.98873907158295,30.76894889648503,132.0049275920257,-34.64089369004192,-31.92181469444502
ghazanchecoc sirun ptuyt 79.jpg,-9.882600072888611,9.925963379140024,30.80070045343852,119.9880650616537,-26.48925924242933,-37.70109874714064
ghazanchecoc sirun ptuyt 80.jpg,-11.57770011291067,7.773594629793094,30.81458474178612,109.8365938736533,-18.35183979690409,-41.56408137153528
ghazanchecoc sirun ptuyt 81.jpg,-12.90740634786531,5.62898242999481,30.81036001492587,101.542992904983,-11.02326728516927,-44.13223056315729
ghazanchecoc sirun ptuyt 82.jpg,-13.88669007204683,3.498914020844686,30.80745382252476,94.55611154932836,-4.321451666113931,-46.0411481099865
